,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
979,EDC4109-002,EDC4109,2,교육실습,4,2.0,교직과정,[   0    0 7680    0    0    0    0],신명선,절대평가, ,3.17,국어교육과-국어교육,{'수': '서-241'}
980,EDC4109-003,EDC4109,3,교육실습,4,2.0,교직과정,[     0      0 122880      0      0      0      0],신명선,절대평가, ,3.17,국어교육과-국어교육,{'수': '서-241'}
1072,EKR1311-001,EKR1311,1,국어학개론,1,3.0,전공필수,[7168    0 7168    0    0    0    0],박혜진,상대평가, ,,국어교육과-국어교육,"{'월': '서-224A', '수': '서-224A'}"
1073,EKR1311-002,EKR1311,2,국어학개론,1,3.0,전공필수,[57344     0 57344     0     0     0     0],박혜진,상대평가, ,,국어교육과-국어교육,"{'월': '5서360', '수': '5서360'}"
1074,EKR1423-001,EKR1423,1,국문학개론,1,3.0,전공필수,[  0   0   0   0 126   0   0],이지원,상대평가, ,5.0,국어교육과-국어교육,{'금': '서-241'}
1075,EKR1423-002,EKR1423,2,국문학개론,1,3.0,전공필수,[    0     0     0     0 64512     0     0],이지원,상대평가, ,5.0,국어교육과-국어교육,{'금': '서-241'}
1076,EKR2112-001,EKR2112,1,국어교육론,2,3.0,전공필수,[126   0   0   0   0   0   0],신명선,상대평가, ,2.11,국어교육과-국어교육,{'월': '서-224A'}
1077,EKR2112-002,EKR2112,2,국어교육론,2,3.0,전공필수,[516096      0      0      0      0      0      0],신명선,상대평가, ,2.11,국어교육과-국어교육,{'월': '서-241'}
1078,EKR2213-001,EKR2213,1,작문교육론,2,3.0,전공선택,[  0   0   0   0 126   0   0],장성민,절대평가,"영어,English",4.44,기타-원어강의,{'금': '서-224A'}
1079,EKR2415-001,EKR2415,1,국문학사,2,3.0,전공필수,[  0   0 126   0   0   0   0],허희수,상대평가, ,,국어교육과-국어교육,{'수': '서-224A'}
1080,EKR2415-002,EKR2415,2,국문학사,2,3.0,전공필수,[     0      0 516096      0      0      0      0],허희수,상대평가, ,,국어교육과-국어교육,{'수': '5서365'}
1081,EKR2516-001,EKR2516,1,소설교육론,2,3.0,전공필수,[  0 126   0   0   0   0   0],노태훈,상대평가, ,,국어교육과-국어교육,{'화': '서-241'}
1082,EKR2516-002,EKR2516,2,소설교육론,2,3.0,전공필수,[  0   0   0 126   0   0   0],노태훈,상대평가, ,,국어교육과-국어교육,{'목': '서-224A'}
1083,EKR2526-001,EKR2526,1,한국어 자연어 처리와 에듀테크,2,3.0,전공선택,[     0      0      0 516096      0      0      0],"신명선,서영덕",절대평가, ,,국어교육과-국어교육,{'목': '서-224A'}
1084,EKR3214-001,EKR3214,1,독서교육론,3,3.0,전공선택,[    0     0     0     0 64512     0     0],장성민,절대평가,"영어,English",4.13,기타-원어강의,{'금': '서-224A'}
1085,EKR3321-001,EKR3321,1,국어사,3,3.0,전공필수,[  0 126   0   0   0   0   0],박덕유,상대평가, ,4.59,국어교육과-국어교육,{'화': '서-224A'}
1086,EKR3321-002,EKR3321,2,국어사,3,3.0,전공필수,[     0 516096      0      0      0      0      0],박덕유,상대평가, ,4.59,국어교육과-국어교육,{'화': '서-224A'}
1087,EKR3514-001,EKR3514,1,시교육론,3,3.0,전공필수,[57344     0 57344     0     0     0     0],최현식,상대평가, ,5.0,국어교육과-국어교육,"{'월': '서-224A', '수': '서-224A'}"
1088,EKR3522-001,EKR3522,1,현대문학사,3,3.0,전공선택,[126   0   0   0   0   0   0],양재훈,상대평가, ,2.33,국어교육과-국어교육,{'월': '60주년-510'}
1089,EKR4514-001,EKR4514,1,현대작가의 이해,4,3.0,전공선택,[     0 516096      0      0      0      0      0],최현식,상대평가, ,3.83,국어교육과-국어교육,{'화': '서-241'}
