,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department,classroom
848,DSC1001-001,DSC1001,1,데이터사이언스 개론,1,3.0,전공필수,[    0 57344     0 57344     0     0     0],박보용,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'화': '5남332', '목': '5남332'}"
849,DSC1003-001,DSC1003,1,객체지향프로그래밍,2,3.0,전공선택,[57344     0 57344     0     0     0     0],남지현,상대평가, ,5.0,데이터사이언스학과-데이터사이언스학,"{'월': '60주년-907', '수': '60주년-907'}"
850,DSC2003-001,DSC2003,1,통계적 추론,2,3.0,전공필수,[ 0 14  0 14  0  0  0],최두원,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'화': '60주년-907', '목': '60주년-907'}"
851,DSC2008-001,DSC2008,1,통계분석방법,2,3.0,전공선택,[   0 7168    0 7168    0    0    0],김재오,상대평가, ,5.0,데이터사이언스학과-데이터사이언스학,"{'화': '60주년-907', '목': '60주년-907'}"
852,DSC2009-001,DSC2009,1,사회조사방법론,2,3.0,전공선택,[  0   0   0   0 126   0   0],신창운,상대평가, ,4.02,데이터사이언스학과-데이터사이언스학,{'금': '5서352'}
853,DSC3001-001,DSC3001,1,통계적 기계학습,3,3.0,전공필수,[  0 112   0 112   0   0   0],김재오,상대평가, ,4.67,데이터사이언스학과-데이터사이언스학,"{'화': '60주년-907', '목': '60주년-907'}"
854,DSC3002-001,DSC3002,1,빅데이터시스템,3,3.0,전공선택,[    0 57344     0 57344     0     0     0],김승환,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'화': '60주년-907', '목': '60주년-907'}"
855,DSC3003-001,DSC3003,1,다변량 데이터 분석론,3,3.0,전공선택,[57344     0 57344     0     0     0     0],최두원,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'월': '5남136', '수': '5남136'}"
856,DSC3005-001,DSC3005,1,고객 데이터 분석론,3,3.0,전공선택,[     0 458752      0 458752      0      0      0],김승환,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'화': '60주년-907', '목': '60주년-907'}"
857,DSC3010-001,DSC3010,1,센서 데이터 분석론,4,3.0,전공선택,[7168    0 7168    0    0    0    0],남지현,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'월': '60주년-907', '수': '60주년-907'}"
858,DSC4002-001,DSC4002,1,베이지안 분석 방법론,4,3.0,전공선택,[    0 57344     0 57344     0     0     0],조성일,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'화': '5서352', '목': '5서352'}"
859,DSC4004-001,DSC4004,1,의료 데이터 분석론,4,3.0,전공선택,[   0 7168    0 7168    0    0    0],박보용,상대평가, ,,데이터사이언스학과-데이터사이언스학,"{'화': '5남136', '목': '5남136'}"
860,DSC4006-001,DSC4006,1,데이터분석 사례연구,4,3.0,전공선택,[  0   0 126   0   0   0   0],"박보용,김승환,김재오,남지현,최두원",상대평가, ,,데이터사이언스학과-데이터사이언스학,{'수': '5남132'}
